48,generation : 100,1,2,2,2,2,0,1,1,2,1,0,1,1,0,1,2,0,0,2,2,1,0,3,0,0,2,1,3,1,3,1,0,3,0,1,0,3,2,2,1,0,0,1,1,0,0,0,0,0,1,2,4,1,1,0,4,1,0,0,3,1,1,3,2,1,0,0,3,1,3,-1,3,0,1,1,0,0,2,0,2,1,0,2,3,0,0,1,1,1,1,3,1,3,1,1,1,2,-1,0,1,1,3,1,1,0,1,2,1,1,3,0,3,0,2,0,0,0,0,0,1,1,1,0,3,1,2,0,0,0,2,1,2,0,0,0,-1,3,1,2,0,4,0,0,0,0,1,2,1,3,3,0,0,0,1,3,2,0,2,1,1,0,0,1,0,0,2,1,1,1,1,0,0,0,3,1,1,1,-1,2,1,1,1,1,1,0,2,0,0,2,3,1,1,2,1,3,3,0,1,2,3,1,1,0,1,2,1,2,1,1,1,1,3,3,0,0,0,1,3,0,1,0,3,1,3,0,2,0,2,2,0,0,0,0,2,1,0,0,4,1,0,0,3,4,0,3,1,1,0,0,0,0,2,3,1,3,0,0,-1,2,0,1,1,2,1,2,1,-1,1,0,3,0,1,4,0,3,3,1,2,1,1,1,2,0,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1,-1,1,0,0,1,4,1,2,1,2,0,1,1,2,4,0,2,0,2,2,0,1,0,0,0,2,0,1,2,1,1,0,1,0,0,0,0,2,1,0,0,2,1,0,3,1,2,0,2,0,1,4,2,0,3,2,1,0,2,2,0,1,1,1,1,2,1,2,0,2,1,1,1,3,1,0,1,2,2,3,2,0,0,1,2,1,0,0,1,1,0,0,0,1,3,4,1,0,2,1,0,1,0,0,0,2,1,4,1,2,1,2,1,1,1,1,0,1,0,0,0,2,0,2,2,0,2,0,0,1,0,3,0,1,1,1,2,0,1,3,1,0,1,0,2,1,0,1,1,0,1,3,3,0,0,2,1,2,2,0,1,3,1,0,0,0,0,1,0,0,1,2,2,1,0,1,0,0,1,5,0,0,2,1,3,0,2,3,0,0,1,1,0,0,0,0,0,3,1,2,0,0,2,2,1,0,3,0,0,1,0,1,3,2
28,generation : 203,20,19,20,17,19,19,19,17,20,19,18,19,20,19,23,19,19,20,21,20,19,16,17,21,19,18,19,17,21,19,18,18,19,18,19,19,21,17,18,18,20,20,19,19,20,16,19,19,22,19,18,18,19,19,18,20,20,19,19,15,19,19,18,17,21,19,20,15,18,19,18,19,20,17,18,23,19,18,18,19,21,19,17,19,19,22,20,18,18,20,21,17,18,17,20,18,19,21,21,22,21,19,20,19,19,18,19,17,19,18,19,18,18,15,18,19,22,19,16,18,16,17,18,19,18,19,22,18
26,generation : 151,8,8,9,4,10,8,9,7,9,8,9,8,4,8,2,9,2,8,7,7,10,4,7,8,8,8,7,8,8,9,10,1,9,9,2,7,8,10,8,8,8,9,8,9,7,7,8,5,0,4,8,7,1,9,9,5,7,8,2,8,5,8,9,2,8,1,0,9,2,8,8,7,9,2,9,7,8,8,8,9,2,7,8,10,8,8,2,5,9,10,1,10,7,6,9,7,8,8,9,8,10,9,8,4,9,8,10,7,9,7,7,9,10,9,2,9,7,9,6,6,8,8,8,9,1,1,5,7
21,generation : 3160,3,1,3,3,1,3,3,1,3,3,6,3,3,1,3,5,1,3,0,0,2,5,2,3,1,1,2,3,2,2,3,1,3,3,3,4,2,1,2,3,3,1,4,1,2,2,5,2,3,3,1,1,1,3,1,6,0,6,3,1,5,3,3,3,4,2,1,3,3,1,2,3,3,1,1,1,0,2,5,2,1,5,5,3,3,1,3,3,2,1,3,3,3,3,1,2,3,3,3,1,1,3,3,3,2,3,4,3,1,3,3,1,3,3,2,2,2,-1,1,3,3,2,3,1,3,1,4,6
23,generation : 218,15,19,14,18,13,16,17,17,18,18,17,15,14,18,15,17,15,17,15,15,18,15,14,17,20,17,13,18,17,18,17,15,17,15,17,16,14,17,20,18,14,14,14,15,16,19,14,17,16,16,15,13,15,18,15,15,14,19,15,17,17,14,16,14,15,12,14,16,18,16,15,16,18,17,19,15,16,15,12,12,17,14,16,17,12,21,18,17,17,18,17,15,17,17,17,16,17,15,17,19,14,18,14,12,18,16,19,17,19,19,14,17,16,17,18,15,12,18,16,19,13,17,17,17,15,19,19,19
20,generation : 249,18,20,15,17,17,18,15,16,19,15,14,17,19,17,16,15,16,14,15,18,16,19,16,17,15,16,14,17,13,15,14,15,15,17,18,19,17,15,15,17,14,15,19,15,16,15,18,18,16,18,15,14,15,19,19,17,14,14,14,21,15,19,17,16,19,18,16,16,16,15,16,15,17,17,17,16,14,14,15,17,18,16,16,16,16,14,14,16,16,15,15,18,17,19,17,16,15,15,17,15,19,18,16,19,16,16,16,17,14,15,17,16,14,18,16,15,16,17,14,16,17,19,15,17,14,15,16,15
36,generation : 352,20,21,26,26,20,26,27,26,25,22,26,19,26,28,18,25,24,21,22,22,25,24,22,18,21,25,26,24,26,23,24,26,22,24,26,27,25,22,23,20,26,25,26,23,27,18,23,26,20,25,22,18,22,20,24,19,24,21,27,20,22,26,23,24,20,24,24,23,26,27,20,26,25,25,18,18,26,22,25,25,26,21,26,25,17,25,18,23,25,27,23,19,22,22,21,20,20,26,23,20,20,20,24,25,18,26,21,23,21,25,26,23,21,24,22,25,24,27,20,20,20,23,27,26,26,22,21,25
45,generation : 294,17,21,18,15,15,20,19,22,18,18,15,19,18,18,17,18,20,18,15,20,20,19,18,18,17,17,20,21,18,16,19,19,16,20,18,15,18,24,20,15,17,18,22,16,21,20,16,20,18,19,22,18,18,21,19,19,14,16,20,20,20,21,22,19,15,21,22,20,18,19,20,16,16,19,17,18,22,18,21,18,20,18,19,15,19,19,20,20,18,16,22,22,19,20,21,19,16,21,16,16,16,16,16,16,19,21,18,16,15,16,13,16,18,20,21,20,22,18,18,18,16,16,17,19,17,18,19,17,18,16,18,18,18,15,19,22,22,18,15,19,18,18,17,24,19,20,18,19,15,21,15,17,20,20,19,18,16,17,19,16,18,19,18,14,18,21,17,20,20,16,18,19,19,19,18,18,18,20,14,16,20,14,22,22,19,21,22,20,19,19,19,21,21,15,16,18,15,16,22,21,22,23,19,22,19,20,16,18,19,18,21,18,15,16,16,16,18,16,18,16,18,18,15,18,19,22,19,18,21,14,20,20,16,20,18,20,17,16,20,14,20,17,18,18,16,20,15,16,20,18,16,21,17,19,21,20,14,20,14,18,19,12,22,22,20,20,17,17,18,16,16,22,21,22,17,16,16,17,16,16,21,18,15,20,22,17,20,20,19,16,21,19,16,18,17,18,22,16,21,20,19,20,20,17,21,17,15,20,13,19,22,21,16,16,19,17,15,15,18,19,19,18,15,17,17,16,18,18,20,18,18,18,19,18,18,21,19,20,22,21,20,17,20,17,18,15,17,22,17,16,20,19,20,19,18,14,20,16,21,21,16,16,18,18,20,19,19,19,14,18,15,19,22,20,21,18,23,18,20,18,22,14,15,20,18,16,14,19,18,19,19,20,19,21,22,14,18,18,16,24,21,17,16,18,20,22,17,16,20,19,13,17,18,18,16,17,22,13,20,17,20,18,20,15,23,17,20,15,20,14,22,20,21,19,15,17,20,15,22,19,19,15,13,21,20,19,16,17,18,18,21,18,15,17,20,21,21,17,15,20,18,15,19,17,19,20,20,17,20,20,18,18,17,14,18,18,20,20,19,19,20,20,17,19,19,21,22,22,15,20,14,18,19,21,22,18,16,18,23,15,19,21,15,17,18,18,16,18,15,20,16,13
35,generation : 156,9,9,9,9,7,9,5,11,7,7,7,4,5,8,8,8,8,5,7,8,8,9,8,8,9,8,9,8,9,11,7,8,8,8,11,8,8,8,7,8,9,8,8,7,9,4,7,10,8,8,9,8,10,10,10,9,8,7,9,8,9,10,8,9,9,8,8,10,8,9,8,9,10,9,10,11,9,10,5,8,8,9,9,11,8,5,9,8,7,8,8,8,7,7,9,5,7,10,8,9,9,5,7,8,8,7,10,8,8,9,6,8,6,8,8,9,11,9,10,10,4,8,9,7,8,11,9,9
52,generation : 100,2,3,1,1,3,1,3,1,2,2,0,0,3,1,0,0,0,1,1,1,1,0,0,1,1,1,2,1,1,2,0,2,1,1,1,0,0,0,1,2,2,0,2,1,0,3,1,1,1,2,1,1,1,0,0,2,1,1,0,0,0,3,0,0,1,2,1,0,1,1,3,0,2,2,1,0,0,0,1,0,1,1,3,1,1,0,1,1,0,2,0,2,1,1,2,1,1,0,0,1,1,1,0,2,0,0,1,0,0,2,1,0,1,0,2,0,-1,0,0,2,3,0,0,0,-1,1,0,1,0,1,1,4,0,1,1,0,0,1,0,2,0,0,0,2,1,1,3,0,4,3,0,0,1,-1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,2,3,1,1,1,1,0,3,1,1,0,1,0,2,1,2,0,3,1,2,1,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,1,2,1,1,0,0,0,2,1,0,0,1,2,0,2,0,1,0,3,1,1,1,0,1,2,0,2,0,0,2,0,0,0,1,0,0,3,2,1,1,1,0,1,1,1,1,0,3,2,0,0,0,0,0,2,1,0,1,1,3,0,1,1,1,3,2,0,2,1,3,3,1,2,0,0,0,3,0,2,1,1,2,1,0,0,0,1,3,0,0,3,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,-1,1,2,2,0,0,3,1,2,2,0,2,1,1,0,1,0,1,0,0,2,3,3,1,0,3,3,3,0,0,0,2,0,3,1,3,4,0,1,0,0,1,0,3,1,1,0,0,1,1,3,0,1,1,1,0,3,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,1,2,0,3,1,2,3,2,0,0,0,1,2,2,4,3,1,0,2,1,1,0,4,1,1,0,0,0,1,0,2,3,0,0,-1,2,2,3,0,0,1,1,1,1,0,3,0,3,0,0,1,0,3,4,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,3,0,2,3,0,0,0,1,1,1,0,0,2,2,1,4,1,3,1,3,1,1,0,1,2,0,0,1,1,3,0,4,1,1,1,0,1,1,1,1,1,3,0,1,1,2,0,1,2,1,2,0,2,3,1
